"FORMULARIO","PersNro","PersID","ViajeID","LugarEntrevista","TipoEntrevista","InfNum","Sexo","Edad","edad_recodif","CapDif","CapDifMot","CapDifMen","CapDifVis","CapDifAud","CapDifHabla","CapDifOtras","RelacionJefeHogar","PSH","NivelEstudio","PersonaCursando","NivelEstudioCursando","DescripciónEstCurs","AmbitoEstudio","LicenciaConducir","OcupacionPrincipal","Desc_ocuprinc","OtraActividad","Cual_act","Rel_trab","CategoríaLaboral","AmbitoTrabajo","Desc_ambtrab","IngresoPersona","Cantidad_Dinero","RangoIngresos","promedio_ingreso","IngresoTotal","realizo_viajes","CantidadViajes","Enfermedad","Vacaciones","No_Trabajó","No_dinero_viajar","Trabajó_casa","Fuera_área","No_hay_transporte","No_transporte_discapacitados","Calles_intransitables","Paro_huelga","Sin_clases","Mal_tiempo","No_necesidad_viajar","Otro_motivo","Desc_otromotiv","Cons_sis","Cons_restolíneas","Usuario_frecuente","Razón_no_viaja","Seguridad","Limpieza","Espacio","Trato_conductor","Forma_conducción","Frecuencia","Información_frecuencias","Tiempo_espera","Accesibilidad_Distancia","Seguridad_Paradas","Bienestar","FEX"
8,5,805,80504,"Hogar","Persona no encuestada",1,"Mujer",21,"19-30","No","97","97","97","97","97","97","Pensionista","No","Secundario / Polimodal","Si","Universitario","            ","Estatal","No","Estudiante","            ","No","          ","No corresponde responder","97","97","            ","No",97,"97",98,98,"Si",4,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","Regular","Buenas","Sí","               ",5,7,5,7,5,3,5,4,7,5,"No Pobre",52.5230442809888
9,1,901,90100,"Hogar","Personal",1,"Mujer",35,"31-50","No","97","97","97","97","97","97","Cónyugue","No","Primario / EGB","No","97","            ","97","No","Ama de casa","            ","Si","kiosko    ","Patrón / Empleador","Comerciante sin personal","Hogar / Familia","            ","Si",1000,"97",97,1000,"No",97,"No","No","No","No","No","No","No","No","No","No","No","No","Sí","No","            ","Regular","98","No","no es necesario",10,8,8,8,8,6,6,4,10,1,"No Pobre",52.5230442809888
9,2,902,90204,"Hogar","Persona no encuestada",1,"Varón",34,"31-50","No","97","97","97","97","97","97","Jefe del hogar","Si","Secundario / Polimodal","No","97","            ","97","No","Trabajó","            ","No corresponde responder","          ","Trabaja por su cuenta","Changas / Peón","Otro","payaso      ","Si",1500,"97",97,1500,"Si",4,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","Regular","Muy buenas","Sí","               ",5,3,1,7,7,7,10,1,6,10,"No Pobre",52.5230442809888
9,3,903,90302,"Hogar","Persona no encuestada",1,"Mujer",15,"13-18","No","97","97","97","97","97","97","Hijo / hijastro","No","Primario / EGB","Si","Secundario / polimodal","            ","Estatal","97","Estudiante","            ","Si","niñera    ","Obrero / Empleado","97","Hogar / Familia","            ","Si",80,"97",97,80,"Si",2,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","Bueno","98","Sí","               ",8,10,6,7,9,8,7,5,10,10,"No Pobre",52.5230442809888
9,4,904,90402,"Hogar","Persona no encuestada",1,"Mujer",13,"13-18","No","97","97","97","97","97","97","Hijo / hijastro","No","Primario / EGB","Si","Secundario / polimodal","            ","Estatal","97","Estudiante","            ","Si","niñera    ","Obrero / Empleado","97","Hogar / Familia","            ","Si",20,"97",97,20,"Si",2,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","97","97","97","               ",97,97,97,97,97,97,97,97,97,97,"No Pobre",52.5230442809888
9,5,905,90502,"Hogar","Persona no encuestada",1,"Mujer",7,"4-12","No","97","97","97","97","97","97","Hijo / hijastro","No","Sin estudios","Si","Primario / EGB","            ","Estatal","97","No corresponde responder","            ","No corresponde responder","          ","No corresponde responder","97","97","            ","97",97,"97",97,97,"Si",2,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","97","97","97","               ",97,97,97,97,97,97,97,97,97,97,"No Pobre",52.5230442809888
9,6,906,90600,"Hogar","Persona no encuestada",1,"Mujer",2,"0-3","No","97","97","97","97","97","97","Hijo / hijastro","No","Sin estudios","No","97","            ","97","97","No corresponde responder","            ","No corresponde responder","          ","No corresponde responder","97","97","            ","97",97,"97",97,97,"Menor de 4",97,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","97","97","97","               ",97,97,97,97,97,97,97,97,97,97,"No Pobre",52.5230442809888
10,1,1001,100102,"Hogar","Personal",1,"Mujer",41,"31-50","No","97","97","97","97","97","97","Jefe del hogar","Si","Sin estudios","Si","Educación no formal","            ","Estatal","No","Pensionado","            ","No","          ","No corresponde responder","97","97","            ","Si",710,"97",97,710,"Si",2,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","Bueno","Regulares","Sí","               ",6,5,8,5,5,9,8,10,3,4,"No Pobre",73.5383009121882
10,2,1002,100202,"Hogar","Personal",1,"Mujer",20,"19-30","No","97","97","97","97","97","97","Hijo / hijastro","No","Sin estudios","Si","Educación no formal","            ","Estatal","No","Ama de casa","            ","No","          ","No corresponde responder","97","97","            ","No",97,"97",98,98,"Si",2,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","Bueno","Regulares","Sí","               ",6,8,4,5,10,9,7,6,4,10,"No Pobre",73.5383009121882
10,3,1003,100300,"Hogar","Personal",1,"Mujer",16,"13-18","No","97","97","97","97","97","97","Hijo / hijastro","No","Primario / EGB","No","97","            ","97","No","Pensionado","            ","No","          ","No corresponde responder","97","97","            ","Si",700,"97",97,700,"No",97,"No","No","No","No","No","No","No","No","No","No","No","No","Sí","No","            ","Bueno","Buenas","No","no es necesario",8,6,10,9,9,9,6,5,8,10,"No Pobre",73.5383009121882
10,4,1004,100400,"Hogar","Personal",1,"Varón",12,"4-12","No","97","97","97","97","97","97","Hijo / hijastro","No","Sin estudios","Si","Primario / EGB","            ","Estatal","97","Estudiante","            ","No","          ","No corresponde responder","97","97","            ","No",97,"97",98,98,"No",97,"No","No","No","No","No","No","No","No","No","No","No","No","Sí","No","            ","97","97","97","               ",97,97,97,97,97,97,97,97,97,97,"No Pobre",73.5383009121882
10,5,1005,100500,"Hogar","Persona no encuestada",1,"Varón",0,"0-3","No","97","97","97","97","97","97","Otro pariente","No","Sin estudios","No","97","            ","97","97","No corresponde responder","            ","No corresponde responder","          ","No corresponde responder","97","97","            ","97",97,"97",97,97,"Menor de 4",97,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","97","97","97","               ",97,97,97,97,97,97,97,97,97,97,"No Pobre",73.5383009121882
10,6,1006,100600,"Hogar","Persona no encuestada",1,"Mujer",0,"0-3","No","97","97","97","97","97","97","Otro pariente","No","Sin estudios","No","97","            ","97","97","No corresponde responder","            ","No corresponde responder","          ","No corresponde responder","97","97","            ","97",97,"97",97,97,"Menor de 4",97,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","97","97","97","               ",97,97,97,97,97,97,97,97,97,97,"No Pobre",73.5383009121882
12,1,1201,120102,"Hogar","Personal",1,"Varón",22,"19-30","No","97","97","97","97","97","97","Jefe del hogar","Si","Secundario / Polimodal","No","97","            ","97","Si","Buscó trabajo","            ","No corresponde responder","          ","No corresponde responder","97","97","            ","Si",300,"97",97,300,"Si",2,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","Regular","Buenas","No","viaja en moto  ",1,5,1,1,5,5,1,5,10,1,"Indigente",73.5383009121882
13,1,1301,130102,"Hogar","Personal",1,"Varón",40,"31-50","No","97","97","97","97","97","97","Hijo / hijastro","Si","Secundario / Polimodal","No","97","            ","97","Si","No trabajó pero mantiene empleo","            ","No corresponde responder","          ","Obrero / Empleado","97","Privado","            ","Si",3400,"97",97,3400,"Si",2,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","Regular","Malas","No","viaja en auto  ",98,98,98,98,98,98,98,98,98,98,"No Pobre",41.8207524687622
13,2,1302,130202,"Hogar","Personal",2,"Mujer",69,"66 ó +","No","97","97","97","97","97","97","Jefe del hogar","No","Primario / EGB","No","97","            ","97","No","Trabajó","            ","No corresponde responder","          ","Obrero / Empleado","98","Estatal","            ","Si",1000,"97",97,1000,"Si",2,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","Regular","Buenas","Sí","               ",5,8,8,10,8,5,9,98,3,1,"No Pobre",41.8207524687622
14,1,1401,140102,"Hogar","Personal",1,"Mujer",58,"51-65","No","97","97","97","97","97","97","Jefe del hogar","No","Primario / EGB","No","97","            ","97","No","Trabajó","            ","No corresponde responder","          ","Obrero / Empleado","98","Hogar / Familia","            ","Si",700,"97",97,700,"Si",2,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","Regular","Regulares","Sí","               ",7,5,3,2,2,5,3,3,5,8,"No Pobre",41.8207524687622
14,2,1402,140201,"Hogar","Personal",2,"Varón",20,"19-30","No","97","97","97","97","97","97","Hijo / hijastro","No","Primario / EGB","Si","Secundario / polimodal","            ","Estatal","No","Estudiante","            ","No","          ","No corresponde responder","97","97","            ","No",97,"97",98,98,"Si",1,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","Regular","Regulares","Sí","               ",4,8,1,1,2,8,8,5,5,1,"No Pobre",41.8207524687622
14,3,1403,140302,"Hogar","Personal",3,"Varón",32,"31-50","No","97","97","97","97","97","97","Hijo / hijastro","No","Secundario / Polimodal","No","97","            ","97","Si","Trabajó","            ","No corresponde responder","          ","Trabaja por su cuenta","Comerciante sin personal","Hogar / Familia","            ","Si",1300,"97",97,1300,"Si",2,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","Bueno","Regulares","Sí","               ",5,7,6,5,7,6,8,6,6,1,"No Pobre",41.8207524687622
14,4,1404,140402,"Hogar","Personal",4,"Varón",59,"51-65","No","97","97","97","97","97","97","Cónyugue","Si","Primario / EGB","No","97","            ","97","No","Trabajó","            ","No corresponde responder","          ","Obrero / Empleado","98","Estatal","            ","Si",1200,"97",97,1200,"Si",2,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","Bueno","Buenas","No","no es necesario",98,98,98,98,98,98,98,98,98,98,"No Pobre",41.8207524687622
15,1,1501,150100,"Hogar","Personal",1,"Mujer",61,"51-65","No","97","97","97","97","97","97","Jefe del hogar","Si","Primario / EGB","No","97","            ","97","No","Trabajó","            ","No corresponde responder","          ","Obrero / Empleado","98","Estatal","            ","Si",800,"97",97,800,"No",97,"No","No","No","No","Sí","97","97","97","97","97","97","97","97","97","            ","Bueno","Buenas","Sí","               ",8,8,6,8,6,8,4,98,10,6,"Pobre",41.8207524687622
16,1,1601,160102,"Hogar","Personal",1,"Mujer",60,"51-65","No","97","97","97","97","97","97","Jefe del hogar","Si","Superior no universitario","No","97","            ","97","No","Ama de casa","            ","No","          ","No corresponde responder","97","97","            ","Si",1000,"97",97,1000,"Si",2,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","Bueno","Regulares","Sí","               ",5,5,4,5,5,4,4,5,6,2,"Pobre",49.5541350443311
16,2,1602,160202,"Hogar","Personal",1,"Mujer",59,"51-65","Sí","No","Sí","No","No","No","No","Otro pariente","No","Primario / EGB","No","97","            ","97","No","No trabajó ni buscó trabajo","gimnasia    ","No corresponde responder","          ","No corresponde responder","97","97","            ","Si",300,"97",97,300,"Si",2,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","Bueno","Regulares","No","usa mas el remi",5,5,5,5,4,4,5,6,2,2,"Pobre",49.5541350443311
17,1,1701,170102,"Hogar","Personal",1,"Mujer",73,"66 ó +","No","97","97","97","97","97","97","Jefe del hogar","Si","Superior no universitario","No","97","            ","97","Si","Jubilado","            ","No","          ","No corresponde responder","97","97","            ","Si",3500,"97",97,3500,"Si",2,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","Malo","Muy malas","No","no usa colectiv",5,2,1,8,5,6,5,4,8,7,"No Pobre",49.5541350443311
18,1,1801,180105,"Hogar","Personal",1,"Varón",54,"51-65","No","97","97","97","97","97","97","Jefe del hogar","Si","Universitario","No","97","            ","97","Si","Trabajó","            ","No corresponde responder","          ","Obrero / Empleado","98","Estatal","            ","Si",4000,"97",97,4000,"Si",5,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","98","98","No","no es necesario",98,6,5,4,1,5,98,98,7,8,"No Pobre",49.5541350443311
19,1,1901,190102,"Hogar","Personal",1,"Mujer",55,"51-65","No","97","97","97","97","97","97","Jefe del hogar","No","Primario / EGB","Si","Educación no formal","            ","Privado","No","Ama de casa","            ","Si","ayudante  ","Trabaja por su cuenta","Trabajador no especializado","Hogar / Familia","            ","No",97,"97",98,98,"Si",2,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","Bueno","98","Sí","               ",8,8,7,8,8,8,7,9,9,6,"No Pobre",52.4860261227411
19,2,1902,190204,"Hogar","Persona no encuestada",1,"Varón",55,"51-65","No","97","97","97","97","97","97","Cónyugue","Si","Primario / EGB","No","97","            ","97","Si","Trabajó","            ","No corresponde responder","          ","Obrero / Empleado","98","Privado","            ","Si",2500,"97",97,2500,"Si",4,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","98","Regulares","Sí","               ",8,7,5,9,10,9,98,98,10,10,"No Pobre",52.4860261227411
19,3,1903,190302,"Hogar","Persona no encuestada",1,"Mujer",13,"13-18","No","97","97","97","97","97","97","Hijo / hijastro","No","Primario / EGB","Si","Secundario / polimodal","            ","Privado","97","Estudiante","            ","No","          ","No corresponde responder","97","97","            ","No",97,"97",98,98,"Si",2,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","97","97","97","               ",97,97,97,97,97,97,97,97,97,97,"No Pobre",52.4860261227411
20,1,2001,200112,"Hogar","Personal",1,"Mujer",42,"31-50","No","97","97","97","97","97","97","Cónyugue","No","Secundario / Polimodal","No","97","            ","97","Si","Trabajó","            ","No corresponde responder","          ","Trabaja por su cuenta","Comerciante sin personal","Privado","            ","Si",98,"98",98,98,"Si",12,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","Regular","Buenas","No","               ",4,98,98,98,3,6,98,98,4,3,"No Pobre",45.2960443436634
20,2,2002,200204,"Hogar","Personal",1,"Varón",54,"51-65","No","97","97","97","97","97","97","Jefe del hogar","Si","Primario / EGB","No","97","            ","97","Si","Trabajó","            ","No corresponde responder","          ","Trabaja por su cuenta","Comerciante sin personal","Privado","            ","Si",98,"98",98,98,"Si",4,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","Malo","Buenas","Sí","               ",7,6,6,8,8,5,5,5,98,4,"No Pobre",45.2960443436634
20,3,2003,200304,"Hogar","Persona no encuestada",1,"Mujer",20,"19-30","No","97","97","97","97","97","97","Hijo / hijastro","No","Secundario / Polimodal","Si","Universitario","            ","Privado","No","Estudiante","            ","No","          ","No corresponde responder","97","97","            ","No",97,"97",98,98,"Si",4,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","Malo","Regulares","Sí","               ",3,1,2,1,1,1,1,98,2,4,"No Pobre",45.2960443436634
20,4,2004,200405,"Hogar","Persona no encuestada",1,"Mujer",18,"13-18","No","97","97","97","97","97","97","Hijo / hijastro","No","Primario / EGB","Si","Secundario / polimodal","            ","Privado","No","Estudiante","            ","No","          ","No corresponde responder","97","97","            ","No",97,"97",98,98,"Si",6,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","Malo","98","Sí","               ",5,1,4,3,1,1,1,98,6,1,"No Pobre",45.2960443436634
21,1,2101,210100,"Hogar","Personal",3,"Mujer",75,"66 ó +","Sí","No","No","Sí","No","No","No","Jefe del hogar","No","Sin estudios","No","97","            ","97","No","Jubilado","            ","No","          ","No corresponde responder","97","97","            ","No",97,"97",98,98,"No",97,"Sí","No","No","No","No","No","No","No","No","No","No","No","Sí","No","            ","Bueno","Buenas","No","persona mayor  ",5,7,5,8,8,7,6,6,6,7,"No Pobre",44.5752501398702
21,2,2102,210202,"Hogar","Personal",3,"Varón",18,"13-18","No","97","97","97","97","97","97","Otro pariente","Si","Sin estudios","No","97","            ","97","No","Trabajó","            ","No corresponde responder","          ","Obrero / Empleado","98","Privado","            ","Si",1600,"97",97,1600,"Si",2,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","Bueno","Buenas","Sí","               ",6,5,7,5,6,7,3,4,6,6,"No Pobre",44.5752501398702
21,3,2103,210304,"Hogar","Personal",3,"Mujer",26,"19-30","No","97","97","97","97","97","97","Otro pariente","No","Primario / EGB","No","97","            ","97","No","Ama de casa","            ","Si","peluquera ","Trabaja por su cuenta","Trabajador no especializado","Hogar / Familia","            ","Si",340,"97",97,340,"Si",4,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","Regular","Regulares","Sí","               ",8,9,1,7,5,9,8,4,8,8,"No Pobre",44.5752501398702
21,4,2104,210400,"Hogar","Personal",3,"Varón",5,"4-12","No","97","97","97","97","97","97","Otro pariente","No","Sin estudios","No","97","            ","97","97","No corresponde responder","            ","No corresponde responder","          ","No corresponde responder","97","97","            ","97",97,"97",97,97,"No",97,"No","No","No","No","No","No","No","No","No","No","No","No","Sí","No","            ","97","97","97","               ",97,97,97,97,97,97,97,97,97,97,"No Pobre",44.5752501398702
23,1,2301,230102,"Hogar","Personal",1,"Mujer",52,"51-65","No","97","97","97","97","97","97","Cónyugue","No","Secundario / Polimodal","No","97","            ","97","No","Ama de casa","            ","Si","trabajo   ","Trabajador sin salario","97","Hogar / Familia","            ","No",97,"97",98,98,"Si",2,"97","97","97","97","97","97","97","97","97","97","97","97","97","97","            ","Regular","Buenas","Sí","               ",9,9,8,9,8,9,98,98,9,9,"No Pobre",45.2960443436634
